product_type,ram,storage,color,merchant_city,price,daily_view,brand_asus,brand_honor,brand_huawei,brand_infinix,brand_nokia,brand_oppo,brand_realme,brand_samsung,brand_vivo,brand_xiaomi,cod_True,merchant_badge_PM,merchant_badge_RM
127,-0.9164543044022413,-0.9335530517274802,0,70,-1.1095172595889502,-0.42764943972217256,False,False,False,False,False,False,True,False,False,False,False,True,False
90,0.11609683506251094,0.6548433876161043,0,98,-0.32547066350938403,1.710502318209298,False,False,False,False,False,True,False,False,False,False,False,True,False
252,-0.4001787346698652,-0.7066392746783967,9,13,-0.9912958541635492,-0.2658518255346344,False,False,False,False,False,False,False,False,False,True,False,True,False
99,-0.4001787346698652,-0.7066392746783967,2,73,-0.726058282750464,-0.1040542113470962,False,False,False,False,False,True,False,False,False,False,False,True,False
95,0.11609683506251094,0.6548433876161043,10,70,-0.2811423671980112,-0.4938927547767206,False,False,False,False,False,True,False,False,False,False,False,True,False
134,-0.9164543044022413,-0.7066392746783967,9,115,-0.9778565540577125,0.31988071871977714,False,False,False,False,False,False,False,True,False,False,False,True,False
80,-0.9164543044022413,-0.7066392746783967,6,71,-1.2908973757706983,1.4442065428923865,False,False,False,True,False,False,False,False,False,False,False,True,False
123,-0.4001787346698652,-0.2528117205802297,0,72,-0.4855893909407369,-1.2735698416359693,False,False,False,False,False,False,True,False,False,False,False,True,False
1,0.11609683506251094,0.6548433876161043,9,74,2.2832603198077654,-0.4938927547767206,False,False,False,False,False,False,False,False,False,False,False,True,False
14,-0.4001787346698652,-0.7066392746783967,9,70,0.6408808553369771,0.3674373270557505,False,False,False,False,False,False,False,False,False,False,False,True,False
40,0.11609683506251094,-0.2528117205802297,0,71,-0.9031706675156654,0.048886241311039906,True,False,False,False,False,False,False,False,False,False,False,False,False
13,-0.9164543044022413,-0.7066392746783967,9,119,0.6465635729938989,-1.2735698416359693,False,False,False,False,False,False,False,False,False,False,False,False,True
97,0.11609683506251094,-0.2528117205802297,9,98,0.14085696123595717,-0.22083435529634052,False,False,False,False,False,True,False,False,False,False,False,True,False
1,0.11609683506251094,0.6548433876161043,9,113,2.339350159483464,-0.7582313186063817,False,False,False,False,False,False,False,False,False,False,False,True,False
3,0.11609683506251094,2.470153604008772,9,80,2.7199067679917492,1.4095496996732795,False,False,False,False,False,False,False,False,False,False,False,False,True
69,0.11609683506251094,-0.2528117205802297,0,109,-1.0158123531929175,2.0345334958607975,False,False,False,True,False,False,False,False,False,False,False,True,False
121,-0.4001787346698652,-0.7066392746783967,9,71,0.33018258514641474,0.0750499416679826,False,False,False,False,False,False,True,False,False,False,False,True,False
209,-0.9164543044022413,-0.7066392746783967,9,71,-0.8830115278889165,-0.883731298206345,False,False,False,False,False,False,False,False,True,False,False,True,False
252,0.11609683506251094,-0.2528117205802297,0,81,-0.8913763639805385,1.523492735645899,False,False,False,False,False,False,False,False,False,True,False,True,False
17,-0.9164543044022413,-0.7066392746783967,7,72,0.25745710181483167,0.24948669749495328,False,False,False,False,False,False,False,False,False,False,False,True,False
228,0.11609683506251094,0.6548433876161043,9,80,0.27562285363629696,-1.2735698416359693,False,False,False,False,False,False,False,False,False,True,False,False,True
225,0.11609683506251094,-0.2528117205802297,9,71,-0.4239346413846773,-1.2735698416359693,False,False,False,False,False,False,False,False,False,True,False,True,False
187,0.11609683506251094,0.6548433876161043,9,73,0.180404747878568,-0.36839277517675717,False,False,False,False,False,False,False,False,True,False,False,True,False
252,-0.4001787346698652,-0.7066392746783967,0,71,-0.9270577526511028,2.5347673025280018,False,False,False,False,False,False,False,False,False,True,False,False,False
13,-0.9164543044022413,-0.7066392746783967,9,98,0.33018258514641474,-1.0455289123938831,False,False,False,False,False,False,False,False,False,False,False,True,False
136,-0.4001787346698652,-0.7066392746783967,1,72,-0.39408436317561857,-0.4938927547767206,False,False,False,False,False,False,False,True,False,False,False,True,False
251,-0.9164543044022413,-0.9335530517274802,9,65,-1.3020614911301405,-0.007402510630120278,False,False,False,False,False,False,False,False,False,True,False,True,False
170,1.1486479745272633,0.6548433876161043,1,74,0.37381175342839296,2.3760766827870183,False,False,False,False,False,False,False,True,False,False,False,False,False
211,0.11609683506251094,-0.2528117205802297,9,70,-0.07770342258932036,0.14694574785283024,False,False,False,False,False,False,False,False,True,False,False,True,False
2,0.11609683506251094,6.100774036794108,2,74,2.4226953382063527,1.9938786541466644,False,False,False,False,False,False,False,False,False,False,False,False,True
149,1.1486479745272633,0.6548433876161043,9,104,0.6534940044468756,-0.1040542113470962,False,False,False,False,False,False,False,True,False,False,False,True,False
97,0.11609683506251094,-0.2528117205802297,11,70,-0.6176454880469787,0.23041985008373628,False,False,False,False,False,True,False,False,False,False,False,True,False
19,-0.4001787346698652,-0.2528117205802297,7,72,1.7644669964152024,-1.2735698416359693,False,False,False,False,False,False,False,False,False,False,False,False,True
141,1.1486479745272633,0.6548433876161043,9,113,0.17606463136410097,-0.7582313186063817,False,False,False,False,False,False,False,True,False,False,False,True,False
2,0.11609683506251094,2.470153604008772,3,78,2.7915839417789132,-0.883731298206345,False,False,False,False,False,False,False,False,False,False,False,False,True
21,0.11609683506251094,2.470153604008772,2,36,2.810261589949671,-1.2735698416359693,False,False,False,False,False,False,False,False,False,False,False,False,True
19,-0.4001787346698652,0.6548433876161043,11,113,2.028329568438847,-0.17915468793104636,False,False,False,False,False,False,False,False,False,False,False,True,False
141,1.1486479745272633,0.6548433876161043,0,74,0.16853663132325433,1.2964240073949962,False,False,False,False,False,False,False,True,False,False,False,False,False
89,-0.9164543044022413,-0.7066392746783967,9,71,-0.6632602374320106,-0.7582313186063817,False,False,False,False,False,True,False,False,False,False,False,True,False
249,-0.9164543044022413,-0.9335530517274802,9,71,-1.378035126293024,-0.6556903689642588,False,False,False,False,False,False,False,False,False,True,False,False,True
95,-0.4001787346698652,-0.7066392746783967,9,63,-0.5840852740201536,0.5254219223442523,False,False,False,False,False,True,False,False,False,False,False,True,False
149,1.1486479745272633,0.6548433876161043,9,113,0.7504207269761741,0.021445768252867013,False,False,False,False,False,False,False,True,False,False,False,True,False
14,-0.4001787346698652,-0.7066392746783967,0,73,0.6179194441292235,-1.0455289123938831,False,False,False,False,False,False,False,False,False,False,False,True,False
